group,role,side,price_band,n_trades,n_contracts,avg_price,win_rate,avg_fee_per_contract,gross_mean_pp,gross_ci_low_pp,gross_ci_high_pp,net_mean_pp,net_se_pp,net_ci_low_pp,net_ci_high_pp,z_net
Weather,maker,no,"[0.95,1]",221141,67551418,0.9757451128465005,0.9839061955946659,0.010000000000000134,0.8161082748111019,0.7639721264379937,0.8682444231842102,-0.18389172518889574,0.026600075700565464,-0.23602787356200405,-0.13175557681578742,-6.913203077274948
Science/Tech,maker,yes,"[0.95,1]",3118,948278,0.9702052597819119,0.9775497113534317,0.009999999999999962,0.7344451571520157,0.21419807227120768,1.254692242032824,-0.2655548428479689,0.2654321861636776,-0.785801927728777,0.25469224203283913,-1.0004621017747097
World Events,maker,no,"[0.95,1]",13749,8798897,0.9705440395665192,0.9764346497927122,0.010000000000000033,0.5890610226197778,0.3311907990107244,0.8469312462288312,-0.4109389773802379,0.13156644061686407,-0.6688092009892914,-0.1530687537711843,-3.1234331145047647
Media,taker,no,"[0.95,1]",16282,1752702,0.9765114850755436,0.9822503377963395,0.009999999999999986,0.5738852720795985,0.3697380418753733,0.7780325022838236,-0.42611472792039967,0.1041567501041965,-0.6302619581246248,-0.22196749771617452,-4.091090855793046
Weather,maker,yes,"[0,0.05)",262453,23720610,0.022068675153266205,0.02755922012703227,0.010000000000000042,0.5490544973766472,0.48660844040592205,0.6115005543473723,-0.4509455026233492,0.031860233148329135,-0.5133915595940743,-0.38849944565262406,-14.153867001660608
World Events,maker,yes,"[0,0.05)",6600,2658830,0.022815151515151424,0.02772727272727273,0.00999999999999993,0.4912121212121283,0.09388713205600646,0.8885371103682503,-0.5087878787878783,0.202716831202103,-0.9061128679440003,-0.11146288963175648,-2.5098452643067963
Entertainment,taker,no,"[0.60,0.80)",91681,7474136,0.6982018084444976,0.7122413586239242,0.019999999999999876,1.4039550179426528,1.1121483863455546,1.695761649539751,-0.5960449820573481,0.1488809344883154,-0.8878516136544463,-0.30423835046024994,-4.003501080281891
Other,taker,no,"[0.95,1]",56896,8366723,0.9756615579302602,0.9792604049493814,0.009999999999999997,0.3598847019122606,0.2428635825196711,0.47690582130485004,-0.6401152980877358,0.05970465275132117,-0.7571364174803252,-0.5230941786951463,-10.721363722755612
World Events,taker,yes,"[0,0.05)",11105,7484495,0.024564610535794628,0.02809545249887438,0.009999999999999872,0.35308419630803656,0.04225571158209423,0.6639126810339788,-0.6469158036920145,0.15858596159486854,-0.9577442884179568,-0.33608731896607213,-4.079275348121023
Science/Tech,maker,yes,"[0.40,0.60)",14021,1299411,0.4973290064902645,0.5006062335068825,0.00999999999999991,0.3277227016617869,-0.48844032108524493,1.1438857244088187,-0.6722772983382166,0.41640970548317957,-1.4884403210852486,0.14388572440881542,-1.6144611652558432
Entertainment,maker,yes,"[0,0.05)",61062,12869268,0.021529429104844254,0.024728964003799418,0.009999999999999981,0.31995348989552036,0.19717948657222184,0.4427274932188189,-0.6800465101044822,0.06263979761392781,-0.8028205134277808,-0.5572725067811838,-10.856460844523477
Weather,taker,no,"[0.20,0.40)",122365,5136531,0.3032059821027253,0.3153843010664814,0.02000000000000019,1.217831896375609,0.9594104879425676,1.4762533048086504,-0.7821681036244058,0.13184765736379664,-1.0405895120574473,-0.5237466951913645,-5.932362540702807
Science/Tech,taker,no,"[0.20,0.40)",16614,1415391,0.2972342602624299,0.30925725291922473,0.019999999999999775,1.202299265679458,0.5002560281178849,1.9043425032410313,-0.7977007343204614,0.3581853252865164,-1.4997439718820333,-0.09565749675888918,-2.2270614623376086
